109	78	284	9.1	8
144	68	433	8.6	9.3
113	70	739	7.1	7.5
97	96	1792	8.8	8.8
206	74	477	8.3	10.1
124	111	362	10.8	8.3
152	77	671	10	8.8
162	168	636	9.1	8.8
150	82	329	8.6	10.6
134	89	634	7.5	11.6
292	149	631	10.8	8.5
108	60	257	9.5	8.3
111	96	284	8.8	8.1
182	83	603	9.5	7.9
129	130	686	8.6	10.3
158	145	345	11.1	7.4
186	112	1357	9.6	9.6
177	131	544	9.6	9.3
127	80	205	9.1	10.6
179	130	1264	9.1	9.6
80	140	688	8.3	11.6
103	154	354	8.3	8.1
101	118	1632	9.3	9.8
117	94	348	9.8	7.4
88	119	370	10.3	9.3
78	153	648	9.8	11.1
102	116	366	9.1	9.1
95	97	540	10.3	10.5
80	176	680	8.8	11.8
92	75	345	9.6	8.3
126	134	525	10.3	5
108	161	870	10.3	9.8
77	111	669	9.6	9.8
60	114	452	9.6	10.8
71	142	430	10.6	10.1
86	238	822	10.3	10.8
93	78	190	10.6	9.1
106	196	867	9.6	8.3
162	125	969	10.5	7.3
95	82	499	7.6	9.3
91	125	925	10.1	9.3
52	129	353	9.8	9.8
110	84	288	8.3	3.5
69	183	718	10.3	8.3
57	119	540	9.1	10.8
106	180	668	13	10.1
40	82	347	8.8	9
50	71	345	9.1	10
35	118	463	7.8	11.3
86	121	728	8.1	11.3
57	68	383	7.4	12.8
57	112	316	10.3	10
94	109	388	8.8	6.6
